CAS	phenotype	source	concentration	duration
56-53-1	Abnormal heartbeat	Biobide	LEL	2dpf
860302-33-6	Abnormal heartbeat	Biobide	LEL	2dpf
52918-63-5	Curved/curled	Biobide	LEL	2dpf
86-73-7	Curved/curled	Biobide	LEL	2dpf
68937-41-7	Curved/curled	Biobide	LEL	2dpf
133-06-2	Curved/curled	Biobide	LEL	2dpf
56-35-9	Curved/curled	Biobide	LEL	2dpf
1478-61-1	Curved/curled	Biobide	LEL	2dpf
97-77-8	Curved/curled	Biobide	LEL	2dpf
56803-37-3	Curved/curled	Biobide	LEL	2dpf
116-06-3	Curved/curled	Biobide	LEL	2dpf
58-89-9	Curved/curled	Biobide	LEL	2dpf
85-01-8	Curved/curled	Biobide	LEL	2dpf
107534-96-3	Curved/curled	Biobide	LEL	2dpf
2001-95-8	Curved/curled	Biobide	LEL	2dpf
79-94-7	Curved/curled	Biobide	LEL	2dpf
50-28-2	Curved/curled	Biobide	LEL	2dpf
208-96-8	Curved/curled	Biobide	LEL	2dpf
2465-27-2	Curved/curled	Biobide	LEL	2dpf
56-53-1	Curved/curled	Biobide	LEL	2dpf
68937-41-7	Heart edema/irregular shape	Biobide	LEL	2dpf
1746-01-6	Heart edema/irregular shape	Biobide	LEL	2dpf
1478-61-1	Heart edema/irregular shape	Biobide	LEL	2dpf
97-77-8	Heart edema/irregular shape	Biobide	LEL	2dpf
56803-37-3	Heart edema/irregular shape	Biobide	LEL	2dpf
85-01-8	Heart edema/irregular shape	Biobide	LEL	2dpf
107534-96-3	Heart edema/irregular shape	Biobide	LEL	2dpf
439-14-5	Heart edema/irregular shape	Biobide	LEL	2dpf
56-53-1	Heart edema/irregular shape	Biobide	LEL	2dpf
860302-33-6	Heart edema/irregular shape	Biobide	LEL	2dpf
56-38-2	Heart edema/irregular shape	Biobide	LEL	2dpf
50-28-2	Heart edema/irregular shape	Biobide	LEL	2dpf
208-96-8	Heart edema/irregular shape	Biobide	LEL	2dpf
2465-27-2	Heart edema/irregular shape	Biobide	LEL	2dpf
115-86-6	Heart edema/irregular shape	Biobide	LEL	2dpf
83-32-9	Heart edema/irregular shape	Biobide	LEL	2dpf
68937-41-7	Length alteration	Biobide	LEL	2dpf
133-06-2	Length alteration	Biobide	LEL	2dpf
1478-61-1	Length alteration	Biobide	LEL	2dpf
97-77-8	Length alteration	Biobide	LEL	2dpf
56803-37-3	Length alteration	Biobide	LEL	2dpf
116-06-3	Length alteration	Biobide	LEL	2dpf
58-89-9	Length alteration	Biobide	LEL	2dpf
2001-95-8	Length alteration	Biobide	LEL	2dpf
115-09-3	Length alteration	Biobide	LEL	2dpf
83-79-4	Length alteration	Biobide	LEL	2dpf
439-14-5	Length alteration	Biobide	LEL	2dpf
79-94-7	Length alteration	Biobide	LEL	2dpf
70-30-4	Length alteration	Biobide	LEL	2dpf
56-38-2	Length alteration	Biobide	LEL	2dpf
50-28-2	Length alteration	Biobide	LEL	2dpf
208-96-8	Length alteration	Biobide	LEL	2dpf
2465-27-2	Length alteration	Biobide	LEL	2dpf
115-86-6	Length alteration	Biobide	LEL	2dpf
56-53-1	Length alteration	Biobide	LEL	2dpf
860302-33-6	Length alteration	Biobide	LEL	2dpf
76-44-8	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
133-06-2	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
56-35-9	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
115-09-3	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
1478-61-1	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
85-01-8	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
439-14-5	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
2001-95-8	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
79-94-7	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
70-30-4	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
50-28-2	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
56-53-1	Malformation of the tail (including tail fins)	Biobide	LEL	2dpf
50-29-3	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
52918-63-5	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
86-73-7	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
1746-01-6	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
1478-61-1	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
97-77-8	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
56803-37-3	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
133-06-2	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
116-06-3	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
58-89-9	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
80-05-7	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
55406-53-6	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
56-35-9	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
85-01-8	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
107534-96-3	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
439-14-5	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
2001-95-8	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
115-09-3	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
83-79-4	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
56-53-1	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
860302-33-6	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
56-38-2	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
50-28-2	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
208-96-8	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
2465-27-2	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
115-86-6	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
83-32-9	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
79-94-7	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
70-30-4	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
203-64-5	Microcephaly or abnormal head shape	Biobide	LEL	2dpf
116-06-3	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
58-89-9	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
56-53-1	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
860302-33-6	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
56-38-2	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
50-28-2	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
208-96-8	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
2465-27-2	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
115-86-6	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
83-32-9	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
79-94-7	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
70-30-4	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
203-64-5	Microphthalmia/Cyclopia	Biobide	LEL	2dpf
55406-53-6	Mortality	Biobide	LEL	2dpf
56-35-9	Mortality	Biobide	LEL	2dpf
85-01-8	Mortality	Biobide	LEL	2dpf
107534-96-3	Mortality	Biobide	LEL	2dpf
439-14-5	Mortality	Biobide	LEL	2dpf
2001-95-8	Mortality	Biobide	LEL	2dpf
115-09-3	Mortality	Biobide	LEL	2dpf
83-79-4	Mortality	Biobide	LEL	2dpf
56-53-1	Mortality	Biobide	LEL	2dpf
860302-33-6	Mortality	Biobide	LEL	2dpf
56-38-2	Mortality	Biobide	LEL	2dpf
50-28-2	Mortality	Biobide	LEL	2dpf
208-96-8	Mortality	Biobide	LEL	2dpf
2465-27-2	Mortality	Biobide	LEL	2dpf
115-86-6	Mortality	Biobide	LEL	2dpf
83-32-9	Mortality	Biobide	LEL	2dpf
79-94-7	Mortality	Biobide	LEL	2dpf
70-30-4	Mortality	Biobide	LEL	2dpf
203-64-5	Mortality	Biobide	LEL	2dpf
56-35-9	Necrotic tissues	Biobide	LEL	2dpf
79-94-7	Necrotic tissues	Biobide	LEL	2dpf
70-30-4	Necrotic tissues	Biobide	LEL	2dpf
50-28-2	Necrotic tissues	Biobide	LEL	2dpf
56-53-1	Necrotic tissues	Biobide	LEL	2dpf
70-30-4	Notochord morphology	Biobide	LEL	2dpf
80-05-7	Other effects	Biobide	LEL	2dpf
83-79-4	Other effects	Biobide	LEL	2dpf
97-77-8	Other effects	Biobide	LEL	2dpf
83-32-9	Other effects	Biobide	LEL	2dpf
208-96-8	Other effects	Biobide	LEL	2dpf
63-25-2	Yolk edema	Biobide	LEL	2dpf
86-73-7	Yolk edema	Biobide	LEL	2dpf
68937-41-7	Yolk edema	Biobide	LEL	2dpf
203-64-5	Yolk edema	Biobide	LEL	2dpf
56803-37-3	Yolk edema	Biobide	LEL	2dpf
58-89-9	Yolk edema	Biobide	LEL	2dpf
107534-96-3	Yolk edema	Biobide	LEL	2dpf
83-32-9	Yolk edema	Biobide	LEL	2dpf
85-01-8	Yolk edema	Biobide	LEL	2dpf
115-86-6	Yolk edema	Biobide	LEL	2dpf
860302-33-6	Yolk edema	Biobide	LEL	2dpf
2465-27-2	Yolk edema	Biobide	LEL	2dpf
50-28-2	Yolk edema	Biobide	LEL	2dpf
56-53-1	Yolk edema	Biobide	LEL	2dpf
2465-27-2	Yolk opacity	Biobide	LEL	2dpf
56-35-9	Mortality	Biobide	AC50	2dpf
70-30-4	Mortality	Biobide	AC50	2dpf
79-94-7	Mortality	Biobide	AC50	2dpf
56-53-1	Mortality	Biobide	AC50	2dpf
50-28-2	Mortality	Biobide	AC50	2dpf
83-79-4	Mortality	Biobide	AC50	2dpf
2001-95-8	Mortality	Biobide	AC50	2dpf
208-96-8	Mortality	Biobide	AC50	2dpf
83-32-9	Mortality	Biobide	AC50	2dpf
85-01-8	Mortality	Biobide	AC50	2dpf
2465-27-2	Mortality	Biobide	AC50	2dpf
55406-53-6	Mortality	Biobide	AC50	2dpf
115-86-6	Mortality	Biobide	AC50	2dpf
860302-33-6	Mortality	Biobide	AC50	2dpf
107534-96-3	Mortality	Biobide	AC50	2dpf
115-09-3	Mortality	Biobide	AC50	2dpf
439-14-5	Mortality	Biobide	AC50	2dpf
56-38-2	Mortality	Biobide	AC50	2dpf
70-30-4	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
79-94-7	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
56-53-1	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
50-28-2	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
83-79-4	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
2001-95-8	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
208-96-8	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
83-32-9	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
85-01-8	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
2465-27-2	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
55406-53-6	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
115-86-6	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
860302-33-6	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
107534-96-3	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
115-09-3	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
439-14-5	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
56-38-2	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
203-64-5	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
58-89-9	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
56803-37-3	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
86-73-7	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
1478-61-1	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
133-06-2	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
116-06-3	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
1746-01-6	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
52918-63-5	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
50-29-3	Microcephaly or abnormal head shape	Biobide	AC50	2dpf
70-30-4	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
79-94-7	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
56-53-1	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
50-28-2	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
208-96-8	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
83-32-9	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
2465-27-2	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
55406-53-6	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
115-86-6	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
860302-33-6	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
439-14-5	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
56-38-2	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
203-64-5	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
58-89-9	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
116-06-3	Microphthalmia/Cyclopia	Biobide	AC50	2dpf
79-94-7	Head edema	Biobide	AC50	2dpf
50-28-2	Head edema	Biobide	AC50	2dpf
79-94-7	Heart edema/irregular shape	Biobide	AC50	2dpf
50-28-2	Heart edema/irregular shape	Biobide	AC50	2dpf
208-96-8	Heart edema/irregular shape	Biobide	AC50	2dpf
83-32-9	Heart edema/irregular shape	Biobide	AC50	2dpf
2465-27-2	Heart edema/irregular shape	Biobide	AC50	2dpf
55406-53-6	Heart edema/irregular shape	Biobide	AC50	2dpf
115-86-6	Heart edema/irregular shape	Biobide	AC50	2dpf
860302-33-6	Heart edema/irregular shape	Biobide	AC50	2dpf
439-14-5	Heart edema/irregular shape	Biobide	AC50	2dpf
56-38-2	Heart edema/irregular shape	Biobide	AC50	2dpf
83-79-4	Heart edema/irregular shape	Biobide	AC50	2dpf
85-01-8	Heart edema/irregular shape	Biobide	AC50	2dpf
107534-96-3	Heart edema/irregular shape	Biobide	AC50	2dpf
115-09-3	Heart edema/irregular shape	Biobide	AC50	2dpf
56803-37-3	Heart edema/irregular shape	Biobide	AC50	2dpf
1478-61-1	Heart edema/irregular shape	Biobide	AC50	2dpf
1746-01-6	Heart edema/irregular shape	Biobide	AC50	2dpf
68937-41-7	Heart edema/irregular shape	Biobide	AC50	2dpf
79-94-7	Abnormal heartbeat	Biobide	AC50	2dpf
860302-33-6	Abnormal heartbeat	Biobide	AC50	2dpf
56-53-1	Abnormal heartbeat	Biobide	AC50	2dpf
79-94-7	Length alteration	Biobide	AC50	2dpf
860302-33-6	Length alteration	Biobide	AC50	2dpf
56-53-1	Length alteration	Biobide	AC50	2dpf
50-28-2	Length alteration	Biobide	AC50	2dpf
208-96-8	Length alteration	Biobide	AC50	2dpf
2465-27-2	Length alteration	Biobide	AC50	2dpf
55406-53-6	Length alteration	Biobide	AC50	2dpf
115-86-6	Length alteration	Biobide	AC50	2dpf
439-14-5	Length alteration	Biobide	AC50	2dpf
56-38-2	Length alteration	Biobide	AC50	2dpf
83-79-4	Length alteration	Biobide	AC50	2dpf
85-01-8	Length alteration	Biobide	AC50	2dpf
115-09-3	Length alteration	Biobide	AC50	2dpf
56803-37-3	Length alteration	Biobide	AC50	2dpf
1478-61-1	Length alteration	Biobide	AC50	2dpf
68937-41-7	Length alteration	Biobide	AC50	2dpf
70-30-4	Length alteration	Biobide	AC50	2dpf
116-06-3	Length alteration	Biobide	AC50	2dpf
2001-95-8	Length alteration	Biobide	AC50	2dpf
133-06-2	Length alteration	Biobide	AC50	2dpf
79-94-7	Curved/curled	Biobide	AC50	2dpf
56-53-1	Curved/curled	Biobide	AC50	2dpf
50-28-2	Curved/curled	Biobide	AC50	2dpf
208-96-8	Curved/curled	Biobide	AC50	2dpf
2465-27-2	Curved/curled	Biobide	AC50	2dpf
55406-53-6	Curved/curled	Biobide	AC50	2dpf
115-86-6	Curved/curled	Biobide	AC50	2dpf
56-38-2	Curved/curled	Biobide	AC50	2dpf
83-79-4	Curved/curled	Biobide	AC50	2dpf
85-01-8	Curved/curled	Biobide	AC50	2dpf
56803-37-3	Curved/curled	Biobide	AC50	2dpf
1478-61-1	Curved/curled	Biobide	AC50	2dpf
68937-41-7	Curved/curled	Biobide	AC50	2dpf
2001-95-8	Curved/curled	Biobide	AC50	2dpf
133-06-2	Curved/curled	Biobide	AC50	2dpf
107534-96-3	Curved/curled	Biobide	AC50	2dpf
58-89-9	Curved/curled	Biobide	AC50	2dpf
86-73-7	Curved/curled	Biobide	AC50	2dpf
56-35-9	Curved/curled	Biobide	AC50	2dpf
79-94-7	Notochord morphology	Biobide	AC50	2dpf
70-30-4	Notochord morphology	Biobide	AC50	2dpf
83-32-9	Somite morphology	Biobide	AC50	2dpf
83-32-9	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
79-94-7	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
70-30-4	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
56-53-1	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
50-28-2	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
2465-27-2	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
55406-53-6	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
56-38-2	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
83-79-4	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
85-01-8	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
1478-61-1	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
2001-95-8	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
133-06-2	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
107534-96-3	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
56-35-9	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
439-14-5	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
115-09-3	Malformation of the tail (including tail fins)	Biobide	AC50	2dpf
83-32-9	Yolk edema	Biobide	AC50	2dpf
79-94-7	Yolk edema	Biobide	AC50	2dpf
56-53-1	Yolk edema	Biobide	AC50	2dpf
50-28-2	Yolk edema	Biobide	AC50	2dpf
