chebi,ecto,receptor,exposure,source,concentration,frequency,duration
http://purl.obolibrary.org/obo/CHEBI_81781,http://purl.obolibrary.org/obo/ECTO_0001431,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_0,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_35033,http://purl.obolibrary.org/obo/ECTO_0002271,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_8,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_2555,http://purl.obolibrary.org/obo/ECTO_0001602,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_17,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34608,http://purl.obolibrary.org/obo/ECTO_0001646,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_21,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_28119,http://purl.obolibrary.org/obo/ECTO_0000456,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_25,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34631,http://purl.obolibrary.org/obo/ECTO_0001251,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_34,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_49575,http://purl.obolibrary.org/obo/ECTO_0001346,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_41,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_16130,http://purl.obolibrary.org/obo/ECTO_0000970,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_52,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_34911,http://purl.obolibrary.org/obo/ECTO_0001854,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_58,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_81584,http://purl.obolibrary.org/obo/ECTO_0001547,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_64,Biobide,AC50,acute,4d
http://purl.obolibrary.org/obo/CHEBI_83279,http://purl.obolibrary.org/obo/ECTO_0001464,http://purl.obolibrary.org/obo/NCBITaxon_7955,EXP_65,Biobide,AC50,acute,4d
