CAS,Mortality,Microcephaly or abnormal head shape,Microphthalmia/Cyclopia,Head edema,Heart edema/irregular shape,Abnormal heartbeat,Length alteration,Curved/curled,Notochord morphology,Somite morphology,Malformation of the tail (including tail fins),Yolk edema,Yolk opacity,Other effects,Hatching,Necrotic tissues
103-90-2,,,,,,,,,,,,,,,,
1069-66-5,,,,,,,,,,,,,,,,
107534-96-3,78.3224565918776,45.441521916205,,,50.4902532538643,,,61.4058153084442,,,93.9504791821388,44.697761135808,,,,
108-88-3,,,,,,,,,,,,,,,,
109-86-4,,,,,,,,,,,,,,,,
110-54-3,,,,,,,,,,,,,,,,
111-94-4,,,,,,,,,,,,,,,,
115-09-3,1.57148058798716,1.56427514033103,,,2.42360195266602,,1.98208071177581,,,,1.42114498910226,,,,,
115-86-6,18.8697268618872,12.0884062662502,14.5546087968057,,9.98305797786349,,16.8783187218725,20.0276143826465,,,,12.2215178222655,,,,
115-96-8,,,,,,,,,,,,,,,,
116-06-3,,53.0559873469406,91.8354668145665,,,,0.507070015059229,,,,,,,,,
117-81-7,,,,,,,,,,,,,,,,
120-12-7,,,,,,,,,,,,,,,,
12108-13-3,,,,,,,,,,,,,,,,
1241-94-7,,,,,,,,,,,,,,,,
127-07-1,,,,,,,,,,,,,,,,
129-00-0,,,,,,,,,,,,,,,,
133-06-2,,89.1842836423761,,,,,76.6964258043857,73.9355812741774,,,72.8835000805483,,,,,
1330-78-5,,,,,,,,,,,,,,,,
13674-84-5,,,,,,,,,,,,,,,,
1478-61-1,,10.190027367555,,,11.7652698869123,,14.4156097657243,13.9500295408929,,,13.088481527128,,,,,
1746-01-6,,0.0140378786016502,,,0.0624634629622462,,,,,,,,,,,
183658-27-7,,,,,,,,,,,,,,,,
191-24-2,,,,,,,,,,,,,,,,
192-97-2,,,,,,,,,,,,,,,,
2001-95-8,0.103546572832868,0.131684601171524,,,,,0.0806924664880474,0.105918629296156,,,0.0863199447027625,0.152907285519746,,0.305519914670895,,
203-64-5,,31.5502416661042,38.7891757744153,,,,,,,,,46.4312638293389,,,,
205-99-2,,,,,,,,,,,,,,,,
207-08-9,,,,,,,,,,,,,,,,
208-96-8,38.8561076153246,20.7517046722403,25.6657885623476,,39.6551275376465,,31.6254557915658,29.0310921837952,,,,,94.0735284456594,48.5296309475459,,
215-58-7,,,,,,,,,,,,,,,,
218-01-9,,,,,,,,,,,,,,,,
2465-27-2,7.23989580133536,3.84010877901239,3.98819953772214,,3.80812143755879,,3.84010877901239,3.98819953772214,,,18.3566941346031,6.26453735165638,8.00175108573124,,,
26040-51-7,,,,,,,,,,,,,,,,
26787-78-0,,,,,,,,,,,,,,,,
28094-15-7,,,,,,,,,,,,,,,,
2921-88-2,,,,,,,,,,,,,,,,
29761-21-5,,,,,,,,,,,,,,,,
36913-39-0,,,,,,,,,,,,,,,,
439-14-5,58.9781099456959,45.0862981152841,59.4248320116512,,21.4741761414838,,45.0862981152841,,,,45.0862981152841,,,,,
50-06-6,,,,,,,,,,,,,,,,
50-28-2,19.4898604507059,10.5587707132702,17.8374099678484,26.0526546823765,15.7209860207978,,17.5187821610115,12.081820942149,,,10.1434050922805,14.7609329614014,,,,17.5187821610115
50-29-3,,56.1671815526833,,,,,,,,,,,,,,
50-32-8,,,,,,,,,,,,,,,,
50-35-1,,,,,,,,,,,,,,,,
