CAS,Mortality,Microcephaly or abnormal head shape,Microphthalmia/Cyclopia,Head edema,Heart edema/irregular shape,Abnormal heartbeat,Length alteration,Curved/curled,Notochord morphology,Somite morphology,Malformation of the tail (including tail fins),Yolk edema,Yolk opacity,Other effects,Hatching,Necrotic tissues
103-90-2,,,,,,,,,,,,,,,,
1069-66-5,,,,,,,,,,,,,,,,
107534-96-3,100,50,,,75,,,75,,,,50,,,,
108-88-3,,,,,,,,,,,,,,,,
109-86-4,,,,,,,,,,,,,,,,
110-54-3,,,,,,,,,,,,,,,,
111-94-4,,,,,,,,,,,,,,,,
115-09-3,1,1,,,,,1,,,,1,,,,,
115-86-6,20,20,20,,10,,20,,,,,20,,,,
115-96-8,,,,,,,,,,,,,,,,
116-06-3,,10,100,,,,1,2,,,,,,,,
117-81-7,,,,,,,,,,,,,,,,
120-12-7,,,,,,,,,,,,,,,,
12108-13-3,,,,,,,,,,,,,,,,
1241-94-7,,,,,,,,,,,,,,,,
127-07-1,,,,,,,,,,,,,,,,
129-00-0,,,,,,,,,,,,,,,,
133-06-2,,100,,,,,100,75,,,75,,,,,
1330-78-5,,,,,,,,,,,,,,,,
13674-84-5,,,,,,,,,,,,,,,,
1478-61-1,,20,,,20,,20,20,,,20,,,,,
1746-01-6,,0.005,,,0.03,,,,,,,,,,,
183658-27-7,,,,,,,,,,,,,,,,
191-24-2,,,,,,,,,,,,,,,,
192-97-2,,,,,,,,,,,,,,,,
2001-95-8,0.1,0.1,,,,,0.075,0.15,,,0.1,,,,,
203-64-5,100,60,60,,,,,,,,,30,,,,
205-99-2,,,,,,,,,,,,,,,,
207-08-9,,,,,,,,,,,,,,,,
208-96-8,50,30,30,,20,,50,30,,,,,,50,,
215-58-7,,,,,,,,,,,,,,,,
218-01-9,,,,,,,,,,,,,,,,
2465-27-2,7.5,5,5,,5,,5,5,,,,7.5,7.5,,,
26040-51-7,,,,,,,,,,,,,,,,
26787-78-0,,,,,,,,,,,,,,,,
28094-15-7,,,,,,,,,,,,,,,,
2921-88-2,,,,,,,,,,,,,,,,
29761-21-5,,,,,,,,,,,,,,,,
36913-39-0,,,,,,,,,,,,,,,,
439-14-5,60,60,,,30,,60,,,,60,,,,,
50-06-6,,,,,,,,,,,,,,,,
50-28-2,20,15,20,,20,,20,10,,,15,15,,,,20
50-29-3,,60,,,,,,,,,,,,,,
50-32-8,,,,,,,,,,,,,,,,
50-35-1,,,,,,,,,,,,,,,,
50-70-4,,,,,,,,,,,,,,,,
50-78-2,,,,,,,,,,,,,,,,
50-81-7,,,,,,,,,,,,,,,,
51-21-8,,,,,,,,,,,,,,,,
51-52-5,,,,,,,,,,,,,,,,
52645-53-1,,,,,,,,,,,,,,,,
52918-63-5,,0.5,,,,,,2,,,,,,,,
53-70-3,,,,,,,,,,,,,,,,
5436-43-1,,,,,,,,,,,,,,,,
55406-53-6,3,,,,,,,,,,,,,,,
56-35-9,0.5,,,,,,,0.2,,,0.2,,,,,0.2
56-38-2,100,60,60,,60,,60,,,,,,,,,
56-53-1,10,10,10,,,10,6,10,,,10,10,,,,10
56-55-3,,,,,,,,,,,,,,,,
56803-37-3,,60,,,30,,30,30,,,,100,,,,
57-30-7,,,,,,,,,,,,,,,,
58-08-2,,,,,,,,,,,,,,,,
58-89-9,,30,100,,,,100,60,,,,100,,,,
60-57-1,,,,,,,,,,,,,,,,
60348-60-9,,,,,,,,,,,,,,,,
6080-56-4,,,,,,,,,,,,,,,,
63-25-2,,,,,,,,,,,,100,,,,
633-65-8,,,,,,,,,,,,,,,,
638-38-0,,,,,,,,,,,,,,,,
64-86-8,,,,,,,,,,,,,,,,
68631-49-2,,,,,,,,,,,,,,,,
68937-41-7,,,,,5,,20,20,,,,20,,,,
70-30-4,0.75,0.5,0.75,,,,0.5,,0.75,,0.5,,,,,0.75
76-44-8,,,,,,,,,,,60,,,,,
79-06-1,,,,,,,,,,,,,,,,
79-94-7,3,2,2,,,,1,1.5,,,2,,,,,2
80-05-7,,75,,,,,,,,,,,,75,,
80-09-1,,,,,,,,,,,,,,,,
82385-42-0,,,,,,,,,,,,,,,,
83-32-9,50,30,30,,30,,,,,,,30,,75,,
83-79-4,0.2,0.15,,,,,0.15,,,,,,,0.15,,
848641-69-0,,,,,,,,,,,,,,,,
85-01-8,75,75,,,50,,,75,,,75,50,,,,
86-73-7,,75,,,,,,100,,,,100,,,,
860302-33-6,100,100,100,,10,100,100,,,,,30,,,,
91-20-3,,,,,,,,,,,,,,,,
97-77-8,,1,,,2,,1,1,,,,,,1,,
