CAS,Mortality,Jaw morphology,Microcephaly or abnormal head shape,Microphthalmia/Cyclopia,Head edema,Malformation of the sacculi/otoliths,Heart edema/irregular shape,Abnormal heartbeat,Length alteration,Curved/curled,Notochord morphology,Malformation of the tail (including tail fins),Yolk edema,Yolk opacity,Somite morphology,Other effects,Hatching,Necrotic tissues
103-90-2,,,,,,,,,,,,,,,,,,
1069-66-5,,,82.0550407146986,,,,91.735497264116,,,,,,,,,,,
107534-96-3,51.2370475541671,,20.6792754957347,39.5477384058045,,,23.9196666534842,,,79.0829758933462,,,47.2453997399192,26.1472071494211,,,30.5248991952891,
108-88-3,,,,,,,,,,,,,,,,,,
109-86-4,,,,,,,,,,,,,,,,,,
110-54-3,,,,,,,,,,,,,,,,,,
111-94-4,,,,,,,,,,,,,,,,,,
115-09-3,0.675345614527753,2.11941259462433,0.227930017661604,1.32100952636369,,,0.248108576965658,,0.517841262158172,0.459376407354446,,,0.601276180571392,0.485584711781865,,,7.12972560970231,2.90576907840056
115-86-6,6.12458620628695,,1.73010310130597,4.57468399824584,,,1.64513587432816,,2.12039741350344,2.86771304641113,,,5.01730665509135,5.81432107832403,,,,6.42437853626673
115-96-8,,,,,,,,,,,,,,,,,,
116-06-3,,,0.796471018413076,,,,15.903502612151,,2.9218858648464,65.104865613698,,,,,,,,
117-81-7,,,,,,,,,,,,,,,,,,
120-12-7,,,,,,,,,,,,,,,,,,
12108-13-3,,,,,,,,,,,,,,,,,,
1241-94-7,16.1990257546783,,9.75307916911466,12.547803956673,,,10.0367332278481,16.8252123649473,16.232584040058,,,,10.3030334459929,12.547803956673,,,30.1085271902272,19.5532004249286
127-07-1,,,,,,,,,,,,,,,,,,
129-00-0,,,,,,,,,,77.5977733618348,,,,,,1.76650633909779,,
133-06-2,93.3136859884179,,91.7979335870789,,,,,,,92.619487101772,,96.9563072877707,,,,98.4780644630598,,
1330-78-5,17.4669847421431,,9.44309976799626,14.9032110725504,,,9.56509787296785,12.5347631309338,,62.1809708305044,,,10.1957761365519,9.92873103673019,,,,52.4141950023552
13674-84-5,,,95.207673225359,,,,,,,,,,,,,,,
1478-61-1,10.5760820268186,,2.83111394779873,4.26541094884186,,,2.96795950869438,,15.1728768604107,11.634576041057,,18.3794585469228,4.9838265932904,3.99705668658597,,,7.96056526820512,8.59728463563541
1746-01-6,0.0303701037427286,,0.000117560586682601,0.00314197046437336,,,0.000332104049261943,,0.00198889368695724,0.00202083805417377,,,0.00066364200135467,0.00620598592235336,,,0.0654006723448162,
183658-27-7,,,,,,,,,,,,,,,,,,
191-24-2,,,,,,,,,,,,,,,,,,
192-97-2,,,,,,,,,,,,,,,,,,
2001-95-8,0.0817947290641814,,0.0744192922721395,0.106324026266311,,,0.0863756003272975,,0.0776836645879743,0.0823077683126352,,0.0926715436264662,0.120043773557861,0.120043773557861,,,,
203-64-5,51.1899057947784,97.8431324625454,20.0740828298075,25.6695775152651,,,19.871655865535,,40.1755583758219,15.4816083534947,,,20.4243865253263,30.6923460327323,,,,
205-99-2,,,55.53626290481,93.9449051553543,,,84.4493529059951,,,,,,,,,,,
207-08-9,,,7.36766879882496,,,,,,,,,1.77108307073932,,,,0.150949956363569,,
208-96-8,33.0877058978501,,18.1743615980524,28.6352862858931,,57.8448523851389,21.7588319776809,,38.5839498449895,36.3476332242378,,,28.6352862858931,30.4455371142091,,,43.936463036098,
215-58-7,,,,,,,,,,,,,,,,,,
218-01-9,,,,,,,,,,,,,,,,,,
2465-27-2,4.50198964993067,,3.82136051430738,4.38456726475941,,,3.39031080088153,,4.35256083575826,4.12576783698361,,,4.35256083575826,4.35256083575826,,,,
26040-51-7,,,,,,,,,,,,,,,,,,
26787-78-0,,,,,,,,,,,,,,,,,,
28094-15-7,,,,,,,,,,,,,,,,,,
2921-88-2,12.2469110881573,,5.06751901637473,,,,10.5887453449525,,8.28049014951615,7.36603149830133,,,12.4990998040928,3.25468668688124,,,,
29761-21-5,,,60.488227028129,,,,79.2677100614656,,,,,,,,,,,
36913-39-0,,,,,,,,,,,,,,,,,,
439-14-5,32.8479514035046,,9.48246552064832,17.355654564445,,,10.6921813314165,,14.9534319152911,16.0238757864688,,36.8155928044654,14.8603779459281,22.4021957932923,,,22.4539729597423,30.9513746260884
50-06-6,,,,,,,,,,,,,,,,,,
50-28-2,15.8472056568065,15.9853451730093,7.58579261460639,12.454146744157,,13.2524793699445,10.9375617608317,,10.9375617608317,9.88149288380889,,,14.2892491068303,11.3211468486542,,17.584335402241,16.4235364571306,
50-29-3,,7.91805583209116,1.10885919058812,,,,1.99342829045289,,,1.93523135083897,,,7.74471634127675,1.91428845963124,,11.4789604244308,,
50-32-8,,,,,,,,,,,,,,,,,,
50-35-1,,,,,,,,,,,,,,,,,,
50-70-4,,,,,,,,,,,,,,,,,,
50-78-2,,,,,,,,,,,,,,,,,,
50-81-7,,,,,,,,,,,,,,,,,,
51-21-8,,,,,,,,,,,,,,,,,,
51-52-5,,,,,,,,,,,,,,,,,,
