CAS,Mortality,Halted Dev.,Craniofacial,Yolk E.,Par E.,Red heart,Axis,Notochord,C. Fin,Pectoral Fin
103-90-2,,,,,,,,,,
1069-66-5,,,,,,,,,,
107534-96-3,,,,,,,,,,
108-88-3,,,,,,,,,,
109-86-4,,,,,,,,,,
110-54-3,,,,,,,,,,
111-94-4,,,,,,,,,,
115-09-3,0.574425112945675,,,,,,,,0.352661065661523,
115-86-6,,,,,,,,,,
115-96-8,,,,,,,,,,
116-06-3,,,,,,,,,,
117-81-7,,,,,,,,,,
120-12-7,,,,,,,,,,
12108-13-3,,,,,,,,,,
1241-94-7,,,,,,,,,,
127-07-1,,,,,,,,,,
129-00-0,,,,,,,,,,
133-06-2,,,,,,,,,,
1330-78-5,,,,,,,,,,
13674-84-5,,,,,,,,,,
1478-61-1,23.338424974206,,,,,,,,,
1746-01-6,,,,,,,,,,
183658-27-7,,,,,,,,,,
191-24-2,,,,,,,,,,
192-97-2,,,,,,,,,,
2001-95-8,25.7928718086997,0.126372622681301,,,,,,,,
203-64-5,,,,,,,,,,
205-99-2,,,,,,,,,,
207-08-9,,,,,,,,,,
208-96-8,,,,,,,,,,
215-58-7,,,,,,,,,,
218-01-9,,,,,,,,,,
2465-27-2,,10.0224499739804,,,,,,,,
26040-51-7,25.8180675088979,,,,,,,,,
26787-78-0,,,,,,,,,,
28094-15-7,,,,,,,,,,
2921-88-2,,,,,,,,,,
29761-21-5,,,,,,,,,,
36913-39-0,,,,,,,,,,
439-14-5,,,,,,,26.9705633587226,,,
50-06-6,,,,,,,,,,
50-28-2,,,,,,,,,,
50-29-3,,,,,,,,,,
50-32-8,,,,,,,,,,
50-35-1,,,,,,,,,,
50-70-4,,,,,,,,,,
50-78-2,,,,,,,,,,
50-81-7,,,,,,,,,,
51-21-8,,,,,,,,,,
51-52-5,,,,,,,,,,
52645-53-1,,,,,,,,,,
52918-63-5,,,,,,,,,,
53-70-3,,,,,,,,,,
5436-43-1,,,,,,,,,,
55406-53-6,1.65398703009095,,,,,,,,,
56-35-9,,,,,,,,,,
56-38-2,,,,,,,,,,
56-53-1,18.1951690151252,,,,,,11.0364014794103,,13.3139963861963,
56-55-3,,,,,,,,,,
56803-37-3,,,,,,,,,,
57-30-7,,,,,,,,,,
58-08-2,,,,,,,,,,
58-89-9,,,,,,,,,,
60-57-1,,,,,,,,,,
60348-60-9,,,,,,,,,,
6080-56-4,,,,,,,,,,
63-25-2,,,,,,,,,,
633-65-8,,,,,,,,,,
638-38-0,,,,,,,,,,
64-86-8,,,,,,,,,,
68631-49-2,,,,,,,,,,
68937-41-7,,,,,,,,,,
70-30-4,2.76900178375958,,,5.57896497001498,,,2.02175790487195,5.57896497001498,4.78054049086333,
76-44-8,,,,,,,,,27.0737789879166,
79-06-1,,,,,,,,,,
79-94-7,8.99691696296435,14.048592499136,,,,,10.2292699648828,,11.0611928339711,
80-05-7,,,,,,,,,,
80-09-1,,,,,,,,,,
82385-42-0,,,,,,,,,,
83-32-9,,,,,,,,,,
83-79-4,5.18288977568278,0.316190132626328,,,,,,,,
848641-69-0,,,,,,,,,,
85-01-8,,,,,,,,,,
86-73-7,,,,,,,,,,
860302-33-6,,,,,,,,,,
91-20-3,,,,,,,,,,
97-77-8,16.8416104746779,,,,,,,,10.5397786594109,
