CAS,Mortality,Halted Dev.,Craniofacial,Yolk E.,Par E.,Red heart,Axis,Notochord,C. Fin,Pectoral Fin
103-90-2,,,,,,,,,,
1069-66-5,,,,,,,,,,
107534-96-3,,,,,,,,,,
108-88-3,,,,,,,,,,
109-86-4,,,,,,,,,,
110-54-3,,,,,,,,,,
111-94-4,,,,,,,,,,
115-09-3,1,,,,,,,,,
115-86-6,,,,,,,30,,,
115-96-8,,,,,,,,,,
116-06-3,,,,,,,,,,
117-81-7,,,,,,,,,,
120-12-7,,,,,,,,,,
12108-13-3,,,,,,,,,,
1241-94-7,,,,,,,,,,
127-07-1,,,,,,,,,,
129-00-0,,,,,,,,,,
133-06-2,,,,,,,,,,
1330-78-5,,,,,,,30,,,
13674-84-5,,,,,,,,,,
1478-61-1,30,,,,,,,,,
1746-01-6,,,,,,,,,,
183658-27-7,,,,,,,,,,
191-24-2,,,,,,,,,,
192-97-2,,,,,,,,,,
2001-95-8,1,0.1,,,,,,,,
203-64-5,,,,,,,,,,
205-99-2,,,,,,,,,,
207-08-9,,,,,,,,,,
208-96-8,,,,,,,,,,
215-58-7,,,,,,,,,,
218-01-9,,,,,,,,,,
2465-27-2,,10,10,,,,10,,,
26040-51-7,30,,,,,,,,,
26787-78-0,,,,,,,,,,
28094-15-7,,,,,,,,,,
2921-88-2,,,,,,,,,,
29761-21-5,,,,,,,,,,
36913-39-0,,,,,,,,,,
439-14-5,,30,,,,,30,,,
50-06-6,,,,,,,,,,
50-28-2,,30,,,,,30,,,
50-29-3,,,,,,,,,,
50-32-8,,,,,,,,,,
50-35-1,,,,,,,,,,
50-70-4,,,,,,,,,,
50-78-2,,,,,,,,,,
50-81-7,,,,,,,,,,
51-21-8,,,,,,,,,,
51-52-5,,,,,,,,,,
52645-53-1,,,,,,,,,,
52918-63-5,,,,,,,30,,,
53-70-3,,,,,,,,,,
5436-43-1,,,,,,,,,,
55406-53-6,3,,,,,,,,,
56-35-9,,,,,,,,,,
56-38-2,,,,,,,,,,
56-53-1,30,,,,,,,,,
56-55-3,,,,,,,,,,
56803-37-3,,,,,,,,,,
57-30-7,,,,,,,,,,
58-08-2,,,,,,,,,,
58-89-9,,,,,,,,,,
60-57-1,,,,,,,,,,
60348-60-9,,,,,,,,,,
6080-56-4,,,,,,,,,,
63-25-2,,,,,,,,,,
633-65-8,,,,,,,,,,
638-38-0,,,,,,,,,,
64-86-8,,,,,,,,,,
68631-49-2,,,,,,,,,,
68937-41-7,,,,,,,,,,
70-30-4,3,,,,,,1,,,
76-44-8,,,,,,,,,30,
79-06-1,,,,,,,,,,
79-94-7,10,,,,,,3,,3,
80-05-7,,,,,,,,,,
80-09-1,,,,,,,,,,
82385-42-0,,,,,,,,,,
83-32-9,,,,,,,,,,
83-79-4,3,1,,,,,,,,
848641-69-0,,,,,,,,,,
85-01-8,,,,,,,,,,
86-73-7,,,,,,,,,,
860302-33-6,,,,,,,,,,
91-20-3,,,,,,,,,,
97-77-8,30,,,,,,,,,
