CAS,MORT,YSE_,AXIS,EYE_,SNOU,JAW_,OTIC,PE__,BRAI,SOMI,PFIN,CFIN,PIG_,CIRC,TRUN,SWIM,NC__,TR__
103-90-2,,,,,,,,,,,,,,,,,,
1069-66-5,,,,,,,,,,,,,,,,,,
107534-96-3,,50.8047356288733,58.3293277708311,52.8619633890047,50.064898358043,50.064898358043,55.9099086215097,54.1956992066249,59.0401108311857,,55.9099086215097,60.5123488218317,,,,,,
108-88-3,,,,,,,,,,,,,,,,,,
109-86-4,,,,,,,,,,,,,,,,,,
110-54-3,,,,,,,,,,,,,,,,,,
111-94-4,,,,,,,,,,,,,,,,,,
115-09-3,,4.89211354761407,6.33620417320187,6.33620417320187,6.33620417320187,6.33620417320187,,4.89211354761407,,,6.33620417320187,6.33620417320187,,,6.33620417320187,,,6.33620417320187
115-86-6,17.4210530588477,9.61587538435578,12.2160920469142,12.7985983350669,11.3201172783659,10.5880435003023,12.9563093076744,9.41448515516386,12.6342591017469,,10.7493126969232,11.9985520248451,,,12.461048395267,,,15.1352438431008
115-96-8,,,,,,,,,,,,,,,,,,
116-06-3,,59.8220799954171,20.532006142714,,,,,,,,,,,,,,,
117-81-7,,,,,,,,,,,,,,,,,,
120-12-7,,,,,,,,,,,,,,,,,,
12108-13-3,,,,,,,,,,,,,,,,,,
1241-94-7,,50.6152301684337,57.1823918733128,53.8705798751919,51.1218515127801,50.015519709151,,51.7177210025326,,,53.8705798751919,62.9037553962366,,,59.8834795112839,,,
127-07-1,,,,,,,,,,,,,,,,,,
129-00-0,47.0614004066397,66.4197865899911,,,,,,,,,,,,,,,,
133-06-2,,,,,,,,,,,,,,,,,,
1330-78-5,41.1135494495532,38.636022298328,58.929367432143,56.4389820964672,47.6702706988524,51.9676586396053,58.3929861566459,42.5404339050611,62.4003961715397,,56.615742625498,,,,,,,
13674-84-5,,,,,,,,,,,,,,,,,,
1478-61-1,13.1018077278684,,,,,,,,,,,,,,,,,
1746-01-6,0.221913079093193,,0.362126086367515,,,,,0.0352646609888517,0.897031752426734,,,0.205796039807726,,,0.0343297066905913,,,0.638392136176367
183658-27-7,,,,,,,,,,,,,,,,,,
191-24-2,,,,,,,,,,,,,,,,,,
192-97-2,,,,,,,,,,,,,,,,,,
2001-95-8,,8.63259088090279,,,,,,,,,,,,,,,,
203-64-5,,,,,,,,,,,,,,,,,,
205-99-2,,,,,,,,,,,,,,,,,,
207-08-9,,,,,,,,,,,,48.895309476871,,,,,,
208-96-8,,,,,,,,,,,,,,,,,,
215-58-7,46.6760204959415,,,,,,,,,,,,,,,,,
218-01-9,,,,,,,,,,,,,,,,,,
2465-27-2,6.09432917516706,3.32869115097607,3.22995309461562,4.08921079414239,4.08921079414239,4.21657090083928,4.65677176986809,3.39842706102555,4.63478486178417,4.88047412261303,3.57328630612607,5.05724423313876,,,4.61463402232064,4.97259579279284,,4.76553168799522
26040-51-7,23.9938951188537,61.9432835478648,61.5569417807824,65.1572365264811,65.1572365264811,65.1572365264811,,58.2435162985377,,,58.2435162985377,65.1572365264811,,,61.5916151975496,,,
26787-78-0,,,,,,,,,,,,,,,,,,
28094-15-7,,,,,,,,,,,,,,,,,,
2921-88-2,,,,,,,,,,,,,,,,,,
29761-21-5,,,,,,,,,,,,,,,,,,
36913-39-0,,,,,,,,,,,,,,,,,,
